,transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
30,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,SISLI,34,CAGLAYAN
31,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,SISLI,34,MECIDIYEKOY
32,2021-05-01,0,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,8,8,TAM,Tam Kontur,USKUDAR,34A,UZUNCAYIR 2
33,2021-05-01,0,1,OTOYOL,CEVIZLIBAG - SOGUTLUCESME ,Normal,1,1,TAM,Tam Kontur,USKUDAR,34A,ALTUNIZADE 2
34,2021-05-01,0,1,OTOYOL,SULTANBEYLI-UMRANIYE,Normal,2,2,TAM,Tam Kontur,PENDIK,131,
35,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,INDIRIMLI1,Indirimli Abonman,ESENYURT,34,BEYLIKDUZU BELEDIYESI
36,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BUYUKCEKMECE,34,BEYLIKDUZU SONDURAK
37,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,BEYLIKDUZU,34,HARAMIDERE
38,2021-05-01,0,1,OTOYOL,KADIKOY-MARMARA EGT.ARS.HAST-KURTKOY,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,16KH,
39,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,9,9,INDIRIMLI1,Indirimli Kontur,SISLI,34,MECIDIYEKOY
40,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,4,4,TAM,Tam Kontur,KUCUKCEKMECE,34,SEFAKOY
41,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,KUCUKCEKMECE,34,SEFAKOY
42,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,TAM,Tam Kontur,BUYUKCEKMECE,34,BEYLIKDUZU SONDURAK
43,2021-05-01,0,1,OTOYOL,BOGAZKOY MH.-BAHCESEHIR-BAKIRKOY,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,146,
44,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,UCRETSIZ,Ucretsiz,BESIKTAS,34,ZINCIRLIKUYU 2
45,2021-05-01,0,1,OTOYOL,GUNESLI - BEYAZIT,Normal,2,2,UCRETSIZ,Ucretsiz,BAKIRKOY,97,
46,2021-05-01,0,1,OTOYOL,KADIKOY-YENIDOGAN,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,14,
